Note1,Note2,Note3,Note4,Note5,Note6,Note7
72.258835,15.4204035,3.1243157,22.229237,1.0992447,7.704036,22.33423
77.71009,12.717581,0.7527612,28.380823,-2.2372673,13.406667,19.870518
89.494026,8.427559,-2.7668605,30.08073,-7.4244895,17.894417,9.924213
99.77902,1.6496172,-5.6687546,31.677008,-13.269347,18.398415,0.09277463
105.68175,-1.2587085,-6.4006066,30.571133,-15.476708,14.1530695,-2.644115
109.47919,-1.1870161,-5.8027887,26.447433,-15.845506,11.231478,-3.822072
110.54487,-0.7429407,-5.1765614,22.058186,-14.218595,10.905865,-3.3312418
111.975655,-1.0676786,-5.2833934,18.599,-13.230506,10.593647,-4.4224014
112.435005,-0.93052614,-4.176833,15.271992,-12.201647,10.109716,-4.997055
109.91567,1.7970941,-3.135904,12.619085,-9.865494,8.50968,-3.1459377
98.17301,12.622278,-3.349748,13.034326,-8.047568,7.9239607,2.7724254
72.48588,27.182888,-4.119605,15.494541,-6.059255,10.552982,12.8360405
40.845463,37.810417,-3.4999895,18.20453,2.028011,8.274529,19.716467
44.561684,29.669966,-1.6789327,19.6686,2.30281,8.912703,19.994205
71.17369,12.940043,-0.8933517,19.07021,-6.730514,13.809356,15.766189
88.79874,3.4292634,1.6092123,14.411787,-13.807159,15.915954,10.76356
89.15343,3.7655647,3.9716723,12.232815,-19.865051,19.835615,16.74886
83.964676,4.963622,4.899581,13.994418,-20.06809,24.930676,26.357574
89.17796,2.0564187,4.272357,14.136036,-12.446673,22.72762,25.318085
97.29724,0.06860498,1.9403937,13.322786,-6.73949,16.637903,15.979557
102.71441,-1.2389126,0.04505066,11.558828,-5.7803917,10.4717045,5.1481853
100.277855,0.9240816,-1.4373043,11.543871,-6.228245,5.6781554,1.7244736
93.19896,6.2560678,1.1335338,12.099684,-9.71319,13.528222,0.31258547
85.99836,12.247972,3.214418,15.140905,-11.081291,19.023119,-5.2501364
81.83189,13.8385315,0.61608565,21.676952,-8.900953,18.98053,4.5467253
90.37387,12.796767,-1.698852,27.11905,-9.855024,21.044588,6.7313886
98.764915,7.772948,-3.9830837,30.415005,-11.180211,17.769188,1.7848861
103.11478,3.6375554,-5.6755996,31.24214,-13.718532,12.468358,-3.2397902
104.20014,1.6316501,-6.5295944,28.868282,-14.219642,10.055846,-3.8627582
104.883575,1.8117748,-5.5806108,24.457628,-12.672733,8.561193,-5.4697824
105.7785,1.9443312,-5.1398983,20.718687,-11.245814,8.3171425,-7.4967065
106.327095,1.458359,-3.5036657,17.133081,-10.664756,8.29051,-7.625411
107.09683,0.12903677,-3.723299,14.9771595,-10.011547,8.102337,-7.5349064
107.0015,-0.23329179,-3.6794589,12.840572,-8.112721,6.7766647,-7.106921
107.3372,-0.6649384,-3.606984,11.487189,-7.4811687,6.372973,-6.9889264
106.24049,-0.43116835,-2.5950325,10.75369,-8.080355,6.7837152,-4.679743
97.57363,1.212537,-0.07194249,11.133946,-7.820195,8.876005,6.5144305
82.06329,2.0359697,4.3338995,9.832023,-5.60714,12.449603,20.705841
67.07352,0.95046294,8.5159025,9.32751,2.8599203,12.308385,27.331335
67.880585,0.39660963,8.808367,10.705126,8.39832,10.275237,19.261341
78.49232,0.74744743,4.9855323,12.330471,11.809576,4.8747263,2.7459347
83.50631,2.697038,5.6019626,12.161809,15.55996,-1.1866119,-7.1857996
81.38362,6.2778163,7.6419077,15.679,16.601984,-1.4322449,-5.530065
76.04401,12.227439,4.9616513,20.859459,12.119898,3.3775458,1.711397
74.93343,12.222652,0.19273065,22.018078,5.303964,7.3320594,4.510664
83.66052,5.4845495,-3.1942024,17.4679,4.977374,4.8847575,0.18166505
87.92557,3.3366141,-3.0239794,12.55124,2.9500747,3.3287344,-3.4335017
84.45919,8.345334,-2.0723386,12.199319,-3.1395197,9.633372,-2.9061167
71.21106,14.305251,-0.4741011,14.080077,-5.9215817,18.300587,7.7757864
57.33418,14.659808,0.91559047,14.757852,3.8370886,18.142508,19.500904
53.826424,7.8931484,0.951112,13.610919,12.550317,15.325252,21.640944
66.18263,4.101681,-0.04159129,11.250441,12.217277,12.438256,12.821947
